10-29-2025 14:40:55 RAM 3724/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@729,4%@729,3%@729,33%@729,17%@729,18%@729,12%@729,2%@729,0%@729,1%@729,6%@729,8%@729] GR3D_FREQ 49% cpu@42.218C soc2@38.593C soc0@38.843C tj@42.218C soc1@39.593C VDD_GPU_SOC 3969mW/3440mW VDD_CPU_CV 793mW/661mW VIN_SYS_5V0 4715mW/4452mW
10-29-2025 14:40:56 RAM 3723/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,2%@729,7%@729,33%@729,6%@729,6%@729,10%@729,31%@729,0%@729,3%@729,12%@729,3%@729] GR3D_FREQ 49% cpu@42.343C soc2@38.531C soc0@38.906C tj@42.343C soc1@39.687C VDD_GPU_SOC 3969mW/3461mW VDD_CPU_CV 793mW/666mW VIN_SYS_5V0 4715mW/4462mW
10-29-2025 14:40:57 RAM 3724/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@729,3%@729,7%@729,34%@729,7%@729,1%@729,18%@729,20%@729,2%@729,2%@729,16%@729,1%@729] GR3D_FREQ 8% cpu@42.468C soc2@38.5C soc0@38.875C tj@42.468C soc1@39.625C VDD_GPU_SOC 3971mW/3481mW VDD_CPU_CV 793mW/671mW VIN_SYS_5V0 4715mW/4472mW
10-29-2025 14:40:58 RAM 3725/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [25%@729,14%@729,7%@729,16%@729,11%@729,19%@729,33%@729,9%@729,1%@729,2%@729,12%@729,1%@729] GR3D_FREQ 27% cpu@42.218C soc2@38.531C soc0@38.906C tj@42.218C soc1@39.812C VDD_GPU_SOC 3971mW/3499mW VDD_CPU_CV 793mW/675mW VIN_SYS_5V0 4815mW/4485mW
10-29-2025 14:40:59 RAM 3724/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@729,8%@729,2%@729,2%@729,3%@729,55%@729,10%@729,15%@729,0%@729,0%@729,13%@729,0%@729] GR3D_FREQ 0% cpu@42.312C soc2@38.5C soc0@38.875C tj@42.312C soc1@39.625C VDD_GPU_SOC 3971mW/3516mW VDD_CPU_CV 793mW/680mW VIN_SYS_5V0 4715mW/4493mW
10-29-2025 14:41:00 RAM 3725/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@729,7%@729,0%@729,1%@729,2%@729,56%@729,7%@729,17%@729,0%@729,0%@729,13%@729,0%@729] GR3D_FREQ 0% cpu@42.375C soc2@38.593C soc0@38.968C tj@42.375C soc1@39.687C VDD_GPU_SOC 3969mW/3532mW VDD_CPU_CV 793mW/683mW VIN_SYS_5V0 4715mW/4501mW
10-29-2025 14:41:01 RAM 3726/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [13%@729,3%@1497,2%@1497,8%@1497,2%@729,34%@729,34%@729,6%@729,8%@729,0%@729,1%@729,18%@729] GR3D_FREQ 0% cpu@42.5C soc2@38.531C soc0@38.843C tj@42.5C soc1@39.718C VDD_GPU_SOC 3969mW/3546mW VDD_CPU_CV 793mW/687mW VIN_SYS_5V0 4715mW/4508mW
10-29-2025 14:41:02 RAM 3728/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,5%@729,3%@729,18%@729,3%@729,25%@729,26%@729,5%@729,19%@729,10%@729,1%@729,17%@729] GR3D_FREQ 0% cpu@42.343C soc2@38.5C soc0@38.875C tj@42.343C soc1@39.812C VDD_GPU_SOC 3971mW/3560mW VDD_CPU_CV 793mW/691mW VIN_SYS_5V0 4815mW/4518mW
10-29-2025 14:41:03 RAM 3729/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,2%@729,8%@729,2%@1497,7%@729,3%@729,21%@729,33%@729,3%@729,22%@729,1%@729,18%@729] GR3D_FREQ 0% cpu@42.312C soc2@38.562C soc0@38.906C tj@42.312C soc1@39.531C VDD_GPU_SOC 3971mW/3573mW VDD_CPU_CV 793mW/694mW VIN_SYS_5V0 4815mW/4527mW
10-29-2025 14:41:04 RAM 3730/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@1497,2%@1497,7%@1497,3%@1497,6%@729,0%@729,31%@729,25%@729,17%@729,5%@729,14%@729,8%@729] GR3D_FREQ 34% cpu@42.437C soc2@38.625C soc0@38.843C tj@42.437C soc1@39.593C VDD_GPU_SOC 3969mW/3585mW VDD_CPU_CV 793mW/697mW VIN_SYS_5V0 4815mW/4536mW
10-29-2025 14:41:05 RAM 3731/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,7%@729,3%@729,2%@729,6%@729,1%@729,36%@729,15%@729,21%@729,0%@729,18%@729,4%@729] GR3D_FREQ 17% cpu@42.312C soc2@38.531C soc0@38.875C tj@42.312C soc1@39.781C VDD_GPU_SOC 3969mW/3596mW VDD_CPU_CV 793mW/700mW VIN_SYS_5V0 4715mW/4541mW
10-29-2025 14:41:06 RAM 3732/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [13%@729,8%@729,2%@729,5%@729,6%@729,1%@729,35%@729,17%@729,14%@729,11%@729,18%@729,2%@729] GR3D_FREQ 44% cpu@42.562C soc2@38.5C soc0@38.906C tj@42.562C soc1@39.593C VDD_GPU_SOC 3971mW/3607mW VDD_CPU_CV 793mW/702mW VIN_SYS_5V0 4715mW/4546mW
10-29-2025 14:41:07 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [19%@729,7%@729,16%@729,8%@1497,16%@729,9%@729,29%@729,24%@729,1%@729,13%@729,18%@729,1%@729] GR3D_FREQ 49% cpu@42.312C soc2@38.593C soc0@38.937C tj@42.312C soc1@39.656C VDD_GPU_SOC 3969mW/3617mW VDD_CPU_CV 793mW/705mW VIN_SYS_5V0 4815mW/4553mW
10-29-2025 14:41:08 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@729,3%@729,8%@729,2%@729,34%@729,23%@729,8%@729,13%@729,1%@729,4%@729,11%@729,13%@729] GR3D_FREQ 0% cpu@42.406C soc2@38.593C soc0@38.843C tj@42.406C soc1@39.718C VDD_GPU_SOC 3969mW/3626mW VDD_CPU_CV 793mW/707mW VIN_SYS_5V0 4715mW/4558mW
10-29-2025 14:41:09 RAM 3733/62841MB (lfb 5x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@729,0%@729,2%@729,4%@729,34%@729,24%@729,15%@729,8%@729,0%@729,6%@729,4%@729,18%@729] GR3D_FREQ 2% cpu@42.437C soc2@38.562C soc0@38.875C tj@42.437C soc1@39.781C VDD_GPU_SOC 3971mW/3635mW VDD_CPU_CV 793mW/709mW VIN_SYS_5V0 4715mW/4562mW
