sync_event_id,ts_zed,ts_left,ts_right,sys_diff_zed_left(s),sys_diff_zed_right(s),sys_diff_left_right(s),sys_diff_max(s)
1761712836339516431,2507.843302,2507.786834,2507.825054,0.056467,0.018247,-0.03822,0.056467
1761712836405926030,2507.909965,2507.846826,2507.888841,0.06314,0.021125,-0.042015,0.06314
1761712836472503640,2507.976659,2507.910836,2507.952855,0.065822,0.023804,-0.042018,0.065822
1761712836539240813,2508.043271,2508.038611,2508.016856,0.004661,0.026416,0.021755,0.026416
1761712836605800985,2508.109884,2508.102829,2508.080843,0.007055,0.02904,0.021985,0.02904
1761712836673329318,2508.176657,2508.166605,2508.144845,0.010052,0.031812,0.02176,0.031812
1761712836740216456,2508.2435,2508.226789,2508.204622,0.016711,0.038879,0.022168,0.038879
1761712836805947167,2508.310064,2508.290789,2508.269021,0.019275,0.041043,0.021768,0.041043
1761712836872638586,2508.376827,2508.354788,2508.332799,0.022039,0.044029,0.02199,0.044029
1761712836939077078,2508.443449,2508.418567,2508.396794,0.024882,0.046655,0.021773,0.046655
1761712837005878979,2508.510064,2508.482703,2508.460771,0.027361,0.049294,0.021932,0.049294
1761712837073459400,2508.576814,2508.542546,2508.520553,0.034268,0.056261,0.021993,0.056261
1761712837139824011,2508.643427,2508.606766,2508.584769,0.036661,0.058658,0.021997,0.058658
1761712837206040673,2508.710051,2508.670529,2508.648755,0.039522,0.061296,0.021774,0.061296
1761712837272930240,2508.776762,2508.734818,2508.712737,0.041944,0.064025,0.022081,0.064025
1761712837337545734,2508.843416,2508.798737,2508.84093,0.044678,0.002486,-0.042193,0.044678
1761712837405819026,2508.909931,2508.862911,2508.900716,0.04702,0.009216,-0.037804,0.04702
1761712837472723119,2508.976728,2508.922711,2508.964722,0.054017,0.012006,-0.042011,0.054017
1761712837539384843,2509.043165,2508.986692,2509.028966,0.056473,0.014199,-0.042273,0.056473
1761712837605970802,2509.109889,2509.050679,2509.092686,0.059211,0.017204,-0.042007,0.059211
1761712837672365873,2509.176711,2509.114669,2509.156693,0.062042,0.020018,-0.042024,0.062042
1761712837739590564,2509.24313,2509.178467,2509.220491,0.064663,0.022639,-0.042023,0.064663
1761712837805875090,2509.309876,2509.302858,2509.280861,0.007018,0.029016,0.021997,0.029016
1761712837872309068,2509.376498,2509.366444,2509.344655,0.010054,0.031843,0.02179,0.031843
1761712837938913104,2509.443118,2509.430437,2509.408664,0.012681,0.034454,0.021773,0.034454
1761712838005730873,2509.509847,2509.494425,2509.472643,0.015421,0.037204,0.021782,0.037204
1761712838073070651,2509.57646,2509.558417,2509.536627,0.018043,0.039833,0.02179,0.039833
